comp,power,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,naked,5,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.341,0.000
trio-core,naked,5,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.342,0.000
trio-core,naked,5,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,5,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.333,0.000
trio-core,naked,5,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.327,0.000
trio-core,naked,5,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.326,0.000
trio-core,naked,5,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,5,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,5,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.330,0.000
trio-core,naked,5,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,5,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,5,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,5,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,5,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,10,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,naked,10,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,naked,10,1,pack,180,200,1.000,0.000,0.000,0.944,4.1,0.00,0.056,1.000,1.531
trio-core,naked,10,1,pack,300,200,1.000,0.000,0.000,0.942,4.2,0.00,0.058,1.000,1.530
trio-core,naked,10,1,boss,180,200,1.000,0.000,0.000,0.918,8.8,0.00,0.082,1.000,1.517
trio-core,naked,10,1,boss,300,200,1.000,0.000,0.000,0.917,8.9,0.00,0.083,1.000,1.517
trio-core,naked,10,2,solo,180,200,1.000,0.000,0.000,0.972,1.4,0.00,0.028,1.000,1.545
trio-core,naked,10,2,solo,300,200,1.000,0.000,0.000,0.972,1.4,0.00,0.028,1.000,1.545
trio-core,naked,10,2,pack,180,200,1.000,0.000,0.000,0.969,10.9,0.00,0.031,1.000,1.544
trio-core,naked,10,2,pack,300,200,1.000,0.000,0.000,0.967,11.1,0.00,0.033,1.000,1.543
trio-core,naked,10,2,boss,180,200,1.000,0.000,0.000,0.905,21.8,0.00,0.095,0.999,1.511
trio-core,naked,10,2,boss,300,200,1.000,0.000,0.000,0.917,21.8,0.00,0.083,0.999,1.517
trio-core,naked,10,3,solo,180,200,1.000,0.000,0.000,0.932,4.9,0.00,0.068,1.000,1.525
trio-core,naked,10,3,solo,300,200,1.000,0.000,0.000,0.932,4.9,0.00,0.068,1.000,1.525
trio-core,naked,10,3,pack,180,200,1.000,0.000,0.000,0.942,21.9,0.04,0.058,0.993,1.530
trio-core,naked,10,3,pack,300,200,1.000,0.000,0.000,0.952,21.9,0.03,0.048,0.994,1.535
trio-core,naked,10,3,boss,180,200,0.815,0.000,0.185,0.762,67.2,0.95,0.379,0.997,1.170
trio-core,naked,10,3,boss,300,200,0.780,0.000,0.220,0.779,66.3,1.06,0.393,0.995,1.127
trio-core,naked,10,4,solo,180,200,1.000,0.000,0.000,0.916,12.7,0.00,0.084,1.000,1.516
trio-core,naked,10,4,solo,300,200,1.000,0.000,0.000,0.907,12.6,0.00,0.093,1.000,1.512
trio-core,naked,10,4,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.433,0.000
trio-core,naked,10,4,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.427,0.000
trio-core,naked,10,4,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.405,0.000
trio-core,naked,10,4,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.400,0.000
trio-core,naked,10,5,solo,180,200,0.035,0.000,0.965,0.499,26.9,2.92,0.983,0.547,0.045
trio-core,naked,10,5,solo,300,200,0.030,0.000,0.970,0.627,29.4,2.92,0.981,0.542,0.041
trio-core,naked,10,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.463,0.000
trio-core,naked,10,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.456,0.000
trio-core,naked,10,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.427,0.000
trio-core,naked,10,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.425,0.000
trio-core,naked,10,6,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,naked,10,6,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.501,0.000
trio-core,naked,10,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.502,0.000
trio-core,naked,10,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.497,0.000
trio-core,naked,10,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.336,0.000
trio-core,naked,10,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.323,0.000
trio-core,naked,10,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.352,0.000
trio-core,naked,10,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.360,0.000
trio-core,naked,10,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.351,0.000
trio-core,naked,10,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.357,0.000
trio-core,naked,10,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.328,0.000
trio-core,naked,10,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,10,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.326,0.000
trio-core,naked,10,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.336,0.000
trio-core,naked,10,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.333,0.000
trio-core,naked,10,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.331,0.000
trio-core,naked,10,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.332,0.000
trio-core,naked,10,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.338,0.000
trio-core,naked,20,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,naked,20,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,naked,20,1,pack,180,200,1.000,0.000,0.000,0.974,3.4,0.00,0.026,1.000,1.606
trio-core,naked,20,1,pack,300,200,1.000,0.000,0.000,0.974,3.4,0.00,0.026,1.000,1.606
trio-core,naked,20,1,boss,180,200,1.000,0.000,0.000,0.969,4.7,0.00,0.031,1.000,1.603
trio-core,naked,20,1,boss,300,200,1.000,0.000,0.000,0.969,4.8,0.00,0.031,1.000,1.603
trio-core,naked,20,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,naked,20,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,naked,20,2,pack,180,200,1.000,0.000,0.000,0.943,4.5,0.00,0.057,1.000,1.589
trio-core,naked,20,2,pack,300,200,1.000,0.000,0.000,0.943,4.5,0.00,0.057,1.000,1.589
trio-core,naked,20,2,boss,180,200,1.000,0.000,0.000,0.916,8.4,0.00,0.084,1.000,1.575
trio-core,naked,20,2,boss,300,200,1.000,0.000,0.000,0.916,8.4,0.00,0.084,1.000,1.575
trio-core,naked,20,3,solo,180,200,1.000,0.000,0.000,0.968,1.5,0.00,0.032,1.000,1.603
trio-core,naked,20,3,solo,300,200,1.000,0.000,0.000,0.968,1.5,0.00,0.032,1.000,1.603
trio-core,naked,20,3,pack,180,200,1.000,0.000,0.000,0.970,10.5,0.00,0.030,1.000,1.604
trio-core,naked,20,3,pack,300,200,1.000,0.000,0.000,0.971,10.3,0.00,0.029,1.000,1.604
trio-core,naked,20,3,boss,180,200,1.000,0.000,0.000,0.940,20.1,0.00,0.060,1.000,1.587
trio-core,naked,20,3,boss,300,200,1.000,0.000,0.000,0.926,20.3,0.00,0.074,1.000,1.580
trio-core,naked,20,4,solo,180,200,1.000,0.000,0.000,0.923,5.0,0.00,0.077,1.000,1.579
trio-core,naked,20,4,solo,300,200,1.000,0.000,0.000,0.922,4.9,0.00,0.078,1.000,1.578
trio-core,naked,20,4,pack,180,200,1.000,0.000,0.000,0.954,21.6,0.01,0.046,0.998,1.595
trio-core,naked,20,4,pack,300,200,1.000,0.000,0.000,0.953,21.7,0.01,0.047,0.998,1.595
trio-core,naked,20,4,boss,180,200,0.470,0.000,0.530,0.693,49.0,1.91,0.674,0.994,0.684
trio-core,naked,20,4,boss,300,200,0.430,0.000,0.570,0.650,44.6,2.06,0.720,0.990,0.615
trio-core,naked,20,5,solo,180,200,1.000,0.000,0.000,0.961,13.5,0.00,0.039,1.000,1.599
trio-core,naked,20,5,solo,300,200,1.000,0.000,0.000,0.967,13.4,0.00,0.033,1.000,1.602
trio-core,naked,20,5,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.470,0.000
trio-core,naked,20,5,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.476,0.000
trio-core,naked,20,5,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.504,0.000
trio-core,naked,20,5,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,naked,20,6,solo,180,200,0.045,0.000,0.955,0.595,34.4,2.90,0.973,0.674,0.063
trio-core,naked,20,6,solo,300,200,0.050,0.000,0.950,0.531,29.6,2.90,0.973,0.666,0.068
trio-core,naked,20,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.542,0.000
trio-core,naked,20,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.542,0.000
trio-core,naked,20,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.459,0.000
trio-core,naked,20,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.450,0.000
trio-core,naked,20,7,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.499,0.000
trio-core,naked,20,7,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.504,0.000
trio-core,naked,20,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.503,0.000
trio-core,naked,20,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.502,0.000
trio-core,naked,20,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.382,0.000
trio-core,naked,20,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.387,0.000
trio-core,naked,20,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.381,0.000
trio-core,naked,20,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.376,0.000
trio-core,naked,20,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.369,0.000
trio-core,naked,20,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.361,0.000
trio-core,naked,20,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.357,0.000
trio-core,naked,20,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.351,0.000
trio-core,naked,35,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,1,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,1,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,1,boss,180,200,1.000,0.000,0.000,0.987,2.9,0.00,0.013,1.000,1.703
trio-core,naked,35,1,boss,300,200,1.000,0.000,0.000,0.987,2.9,0.00,0.013,1.000,1.703
trio-core,naked,35,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,2,pack,180,200,1.000,0.000,0.000,0.972,3.2,0.00,0.028,1.000,1.694
trio-core,naked,35,2,pack,300,200,1.000,0.000,0.000,0.971,3.2,0.00,0.029,1.000,1.694
trio-core,naked,35,2,boss,180,200,1.000,0.000,0.000,0.971,4.8,0.00,0.029,1.000,1.693
trio-core,naked,35,2,boss,300,200,1.000,0.000,0.000,0.970,4.9,0.00,0.030,1.000,1.693
trio-core,naked,35,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,naked,35,3,pack,180,200,1.000,0.000,0.000,0.938,4.9,0.00,0.062,1.000,1.675
trio-core,naked,35,3,pack,300,200,1.000,0.000,0.000,0.938,4.9,0.00,0.062,1.000,1.675
trio-core,naked,35,3,boss,180,200,1.000,0.000,0.000,0.902,9.4,0.00,0.098,1.000,1.654
trio-core,naked,35,3,boss,300,200,1.000,0.000,0.000,0.901,9.3,0.00,0.099,1.000,1.653
trio-core,naked,35,4,solo,180,200,1.000,0.000,0.000,0.966,2.1,0.00,0.034,1.000,1.691
trio-core,naked,35,4,solo,300,200,1.000,0.000,0.000,0.965,2.1,0.00,0.035,1.000,1.690
trio-core,naked,35,4,pack,180,200,1.000,0.000,0.000,0.973,11.2,0.00,0.027,1.000,1.695
trio-core,naked,35,4,pack,300,200,1.000,0.000,0.000,0.969,11.0,0.00,0.031,1.000,1.692
trio-core,naked,35,4,boss,180,200,1.000,0.000,0.000,0.893,22.7,0.10,0.107,0.998,1.649
trio-core,naked,35,4,boss,300,200,1.000,0.000,0.000,0.894,23.0,0.12,0.106,0.999,1.649
trio-core,naked,35,5,solo,180,200,1.000,0.000,0.000,0.918,5.8,0.00,0.082,1.000,1.663
trio-core,naked,35,5,solo,300,200,1.000,0.000,0.000,0.921,5.7,0.00,0.079,1.000,1.665
trio-core,naked,35,5,pack,180,200,0.995,0.005,0.000,0.953,24.5,0.01,0.051,0.983,1.675
trio-core,naked,35,5,pack,300,200,0.995,0.005,0.000,0.949,24.2,0.01,0.055,0.971,1.672
trio-core,naked,35,5,boss,180,200,0.330,0.000,0.670,0.635,51.9,2.27,0.791,0.988,0.496
trio-core,naked,35,5,boss,300,200,0.345,0.000,0.655,0.671,53.2,2.21,0.769,0.989,0.525
trio-core,naked,35,6,solo,180,200,1.000,0.000,0.000,0.952,16.9,0.00,0.048,1.000,1.682
trio-core,naked,35,6,solo,300,200,1.000,0.000,0.000,0.949,16.9,0.00,0.051,1.000,1.681
trio-core,naked,35,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.509,0.000
trio-core,naked,35,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.508,0.000
trio-core,naked,35,6,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.544,0.000
trio-core,naked,35,6,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.542,0.000
trio-core,naked,35,7,solo,180,200,0.090,0.000,0.910,0.687,45.1,2.77,0.938,0.773,0.138
trio-core,naked,35,7,solo,300,200,0.125,0.000,0.875,0.677,44.7,2.67,0.915,0.776,0.191
trio-core,naked,35,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.587,0.000
trio-core,naked,35,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.582,0.000
trio-core,naked,35,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.470,0.000
trio-core,naked,35,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.474,0.000
trio-core,naked,35,8,solo,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.511,0.000
trio-core,naked,35,8,solo,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.501,0.000
trio-core,naked,35,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,naked,35,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.502,0.000
trio-core,naked,35,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.468,0.000
trio-core,naked,35,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.463,0.000
trio-core,naked,50,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,1,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,1,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,1,boss,180,200,1.000,0.000,0.000,0.995,1.8,0.00,0.005,1.000,1.797
trio-core,naked,50,1,boss,300,200,1.000,0.000,0.000,0.995,1.8,0.00,0.005,1.000,1.797
trio-core,naked,50,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,2,pack,180,200,1.000,0.000,0.000,0.994,1.0,0.00,0.006,1.000,1.797
trio-core,naked,50,2,pack,300,200,1.000,0.000,0.000,0.994,1.1,0.00,0.006,1.000,1.796
trio-core,naked,50,2,boss,180,200,1.000,0.000,0.000,0.983,3.5,0.00,0.017,1.000,1.790
trio-core,naked,50,2,boss,300,200,1.000,0.000,0.000,0.983,3.5,0.00,0.017,1.000,1.790
trio-core,naked,50,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,naked,50,3,pack,180,200,1.000,0.000,0.000,0.967,3.0,0.00,0.033,1.000,1.780
trio-core,naked,50,3,pack,300,200,1.000,0.000,0.000,0.969,3.0,0.00,0.031,1.000,1.781
trio-core,naked,50,3,boss,180,200,1.000,0.000,0.000,0.964,5.8,0.00,0.036,1.000,1.779
trio-core,naked,50,3,boss,300,200,1.000,0.000,0.000,0.963,5.8,0.00,0.037,1.000,1.778
trio-core,naked,50,4,solo,180,200,1.000,0.000,0.000,0.985,0.8,0.00,0.015,1.000,1.791
trio-core,naked,50,4,solo,300,200,1.000,0.000,0.000,0.985,0.8,0.00,0.015,1.000,1.791
trio-core,naked,50,4,pack,180,200,1.000,0.000,0.000,0.894,6.3,0.00,0.106,1.000,1.737
